round,test_loss,test_accuracy,client_accuracy_std,client_accuracy_variance,communication_cost_mb,avg_latency_ms,dataset,partition,algorithm
1,1.5798648576393426,0.34272141160502206,0.15659791700156364,0.024522907609228612,6.147918701171875,145.76032046980654,har,label_skew,fednova
2,1.4855160104407268,0.34238208347472004,0.12307080778921174,0.015146423729889103,6.147918701171875,166.17034732702783,har,label_skew,fednova
3,1.4813012482556076,0.34238208347472004,0.10091720071999671,0.010184281401160105,6.147918701171875,108.12631860037568,har,label_skew,fednova
4,1.5160523489810347,0.34272141160502206,0.09903957735554052,0.009808837882764095,6.147918701171875,150.76832161312467,har,label_skew,fednova
5,1.5737522531453738,0.34272141160502206,0.10213646613360815,0.010431857714261684,6.147918701171875,185.80464819096747,har,label_skew,fednova
