round,test_loss,test_accuracy,client_accuracy_std,client_accuracy_variance,communication_cost_mb,avg_latency_ms,dataset,partition,algorithm
1,0.5749080012036373,0.845945028842891,0.13343639446945435,0.01780527136900783,6.147918701171875,156.21050758792333,har,quantity_skew,fedprox
2,0.3190535646921746,0.8815744825246012,0.05460460825622735,0.0029816632428160523,6.147918701171875,189.37025703913974,har,quantity_skew,fedprox
3,0.24428600800979894,0.9100780454699695,0.045525627278689224,0.0020725827391181325,6.147918701171875,188.1389684848055,har,quantity_skew,fedprox
4,0.1930341627341349,0.9246691550729556,0.03220721236160205,0.001037304528105332,6.147918701171875,125.63279467882937,har,quantity_skew,fedprox
5,0.1757185466013644,0.9314557176789956,0.028811605632775166,0.0008301086191385617,6.147918701171875,209.57176822583716,har,quantity_skew,fedprox
