round,test_loss,test_accuracy,client_accuracy_std,client_accuracy_variance,communication_cost_mb,avg_latency_ms,dataset,partition,algorithm
1,0.8752382854141945,0.7529691211401425,0.06685585379276582,0.0044697051863596795,6.147918701171875,213.36634379387084,har,iid,fedavg
2,0.5356111323627165,0.8530709195792331,0.02870784131539263,0.000824140152989764,6.147918701171875,135.48721601488785,har,iid,fedavg
3,0.38043745590704436,0.8883610451306413,0.011230252145289044,0.00012611856324676917,6.147918701171875,151.61309761831592,har,iid,fedavg
4,0.3135048695083064,0.8937902952154734,0.01817020850552025,0.00033015647713408047,6.147918701171875,184.16000167657052,har,iid,fedavg
5,0.2536661459868101,0.9090600610790635,0.016270112718286066,0.00026471656786573395,6.147918701171875,156.60780230271922,har,iid,fedavg
1,0.9569906723632786,0.7631489650492026,0.03463152414399621,0.0011993424645361922,6.147918701171875,209.39448441146547,har,iid,fedprox
2,0.5258597787817252,0.8547675602307431,0.035496479181095664,0.001260000034253958,6.147918701171875,137.72173907542953,har,iid,fedprox
3,0.38107318335320534,0.8700373260943333,0.025250885742406918,0.0006376072307760889,6.147918701171875,132.2633440866546,har,iid,fedprox
4,0.2978746925405134,0.8995588734306074,0.016000445527652975,0.0002560142570833901,6.147918701171875,167.315617430427,har,iid,fedprox
5,0.25585789356063415,0.9172039362063115,0.019789027695185642,0.0003916056171208244,6.147918701171875,163.27547815178656,har,iid,fedprox
1,0.9290626640436324,0.7729894808279606,0.04549323898278582,0.0020696347931448635,6.147918701171875,203.42096795306426,har,iid,fednova
2,0.5600699186931839,0.8734306073973532,0.021980905691436684,0.00048316021501583364,6.147918701171875,194.47329760128088,har,iid,fednova
3,0.384504071101521,0.8798778418730913,0.023196249869209054,0.0005380660079947811,6.147918701171875,135.73701222667722,har,iid,fednova
4,0.300053160636353,0.9083814048184594,0.02159668476402526,0.0004664167927966809,6.147918701171875,155.01880605816172,har,iid,fednova
5,0.24743943223315737,0.9151679674244995,0.011497203580514837,0.00013218569017180317,6.147918701171875,145.5849838030489,har,iid,fednova
1,1.5337719763178805,0.34340006786562605,0.13749230356682346,0.018904133540111535,6.147918701171875,147.16458055098056,har,label_skew,fedavg
2,1.429553836331272,0.34272141160502206,0.11255296787696781,0.012668170577913748,6.147918701171875,138.3826482930757,har,label_skew,fedavg
3,1.4345665635761666,0.34272141160502206,0.1058220958791548,0.01119831597625703,6.147918701171875,150.95111692769083,har,label_skew,fedavg
4,1.5042955047161166,0.34238208347472004,0.12259683280953862,0.015029983414929966,6.147918701171875,144.13257631181116,har,label_skew,fedavg
5,1.5694428930494557,0.34238208347472004,0.12506681127162061,0.01564170728165117,6.147918701171875,124.58122083590456,har,label_skew,fedavg
1,1.6235629891718206,0.34034611469290804,0.11056900488881224,0.012225504842102185,6.147918701171875,205.2049260519605,har,label_skew,fedprox
2,1.5422935523459333,0.34034611469290804,0.07486300791651335,0.005604469954307941,6.147918701171875,142.78398770624682,har,label_skew,fedprox
