round,test_loss,test_accuracy,client_accuracy_std,client_accuracy_variance,communication_cost_mb,avg_latency_ms,dataset,partition,algorithm
1,0.5973509580028393,0.8506956226671191,0.10268045307352523,0.010543275443384417,6.147918701171875,104.60421436492425,har,quantity_skew,fednova
2,0.3219833433284248,0.8707159823549372,0.06245437304848945,0.003900548712879885,6.147918701171875,209.8638194628715,har,quantity_skew,fednova
3,0.23952506844132562,0.9158466236851035,0.03544969945209508,0.00125668119124387,6.147918701171875,243.10216470560243,har,quantity_skew,fednova
4,0.20032429962106427,0.9165252799457075,0.023603544219570866,0.0005571272997252373,6.147918701171875,134.37305382656666,har,quantity_skew,fednova
5,0.17162460462902213,0.9362063115032236,0.021522488302443726,0.000463217502728827,6.147918701171875,181.99087216330312,har,quantity_skew,fednova
