round,test_loss,test_accuracy,client_accuracy_std,client_accuracy_variance,communication_cost_mb,avg_latency_ms,dataset,partition,algorithm
1,1.5337719763178805,0.34340006786562605,0.13749230356682346,0.018904133540111535,6.147918701171875,147.16458055098056,har,label_skew,fedavg
2,1.429553836331272,0.34272141160502206,0.11255296787696781,0.012668170577913748,6.147918701171875,138.3826482930757,har,label_skew,fedavg
3,1.4345665635761666,0.34272141160502206,0.1058220958791548,0.01119831597625703,6.147918701171875,150.95111692769083,har,label_skew,fedavg
4,1.5042955047161166,0.34238208347472004,0.12259683280953862,0.015029983414929966,6.147918701171875,144.13257631181116,har,label_skew,fedavg
5,1.5694428930494557,0.34238208347472004,0.12506681127162061,0.01564170728165117,6.147918701171875,124.58122083590456,har,label_skew,fedavg
