round,test_loss,test_accuracy,client_accuracy_std,client_accuracy_variance,communication_cost_mb,avg_latency_ms,dataset,partition,algorithm
1,0.5602017152823147,0.8825924669155073,0.23774531244879377,0.056522833591374576,6.147918701171875,165.87571901081228,har,quantity_skew,fedavg
2,0.2811263805735018,0.9070240922972514,0.04338874800042534,0.001882583453044414,6.147918701171875,183.56093951672804,har,quantity_skew,fedavg
3,0.22906889561924,0.9138106549032915,0.036396623292344506,0.0013247141870848344,6.147918701171875,137.80525847416527,har,quantity_skew,fedavg
4,0.1831449235662752,0.9267051238547676,0.028909479703803823,0.0008357580167446451,6.147918701171875,180.91795772404788,har,quantity_skew,fedavg
5,0.18175010479706039,0.9263657957244655,0.023611938856582554,0.000557523656566993,6.147918701171875,148.4605865272242,har,quantity_skew,fedavg
