round,test_loss,test_accuracy,client_accuracy_std,client_accuracy_variance,communication_cost_mb,avg_latency_ms,dataset,partition,algorithm
1,0.9290626640436324,0.7729894808279606,0.04549323898278582,0.0020696347931448635,6.147918701171875,203.42096795306426,har,iid,fednova
2,0.5600699186931839,0.8734306073973532,0.021980905691436684,0.00048316021501583364,6.147918701171875,194.47329760128088,har,iid,fednova
3,0.384504071101521,0.8798778418730913,0.023196249869209054,0.0005380660079947811,6.147918701171875,135.73701222667722,har,iid,fednova
4,0.300053160636353,0.9083814048184594,0.02159668476402526,0.0004664167927966809,6.147918701171875,155.01880605816172,har,iid,fednova
5,0.24743943223315737,0.9151679674244995,0.011497203580514837,0.00013218569017180317,6.147918701171875,145.5849838030489,har,iid,fednova
