round,test_loss,test_accuracy,client_accuracy_std,client_accuracy_variance,communication_cost_mb,avg_latency_ms,dataset,partition,algorithm
1,1.6235629891718206,0.34034611469290804,0.11056900488881224,0.012225504842102185,6.147918701171875,205.2049260519605,har,label_skew,fedprox
2,1.5422935523459333,0.34034611469290804,0.07486300791651335,0.005604469954307941,6.147918701171875,142.78398770624682,har,label_skew,fedprox
3,1.5511212567575996,0.340006786562606,0.06107926147236084,0.0037306761820090238,6.147918701171875,148.18885764391476,har,label_skew,fedprox
4,1.601643902206971,0.340006786562606,0.07389799754105994,0.005460914040578501,6.147918701171875,191.20582478764322,har,label_skew,fedprox
5,1.6473121631133343,0.34034611469290804,0.0734227683999355,0.005390902919510566,6.147918701171875,145.89076550810523,har,label_skew,fedprox
