round,test_loss,test_accuracy,client_accuracy_std,client_accuracy_variance,communication_cost_mb,avg_latency_ms,dataset,partition,algorithm
1,0.8752382854141945,0.7529691211401425,0.06685585379276582,0.0044697051863596795,6.147918701171875,213.36634379387084,har,iid,fedavg
2,0.5356111323627165,0.8530709195792331,0.02870784131539263,0.000824140152989764,6.147918701171875,135.48721601488785,har,iid,fedavg
3,0.38043745590704436,0.8883610451306413,0.011230252145289044,0.00012611856324676917,6.147918701171875,151.61309761831592,har,iid,fedavg
4,0.3135048695083064,0.8937902952154734,0.01817020850552025,0.00033015647713408047,6.147918701171875,184.16000167657052,har,iid,fedavg
5,0.2536661459868101,0.9090600610790635,0.016270112718286066,0.00026471656786573395,6.147918701171875,156.60780230271922,har,iid,fedavg
